2,0,1,-1,-1
3,1,0,-1,-1
4,2,1,1,2
5,1,1,1,1
6,1,2,2,1
7,2,3,2,2
9,1,1,2,3
11,1,0,0,1
12,1,0,-1,-1
14,0,1,-1,-1
